No,Mode,Year,Value
1,Television,2002,74
2,Newspaper,2002,45
3,Internet,2002,13
4,Radio,2002,18
5,Television,2003,82
6,Newspaper,2003,42
7,Internet,2003,14
8,Radio,2003,21
9,Television,2004,80
10,Newspaper,2004,50
11,Internet,2004,20
12,Radio,2004,18
13,Television,2005,74
14,Newspaper,2005,46
15,Internet,2005,24
16,Radio,2005,21
17,Television,2006,73
18,Newspaper,2006,36
19,Internet,2006,20
20,Radio,2006,16
21,Television,2007,72
22,Newspaper,2007,36
23,Internet,2007,24
24,Radio,2007,14
25,Television,2008,74
26,Newspaper,2008,34
27,Internet,2008,24
28,Radio,2008,13
